y1,x39,x45,x49,x50,x52,x56,x59,x63,x64,x65,x70,x74,x75,x80,x83,x84,x85,x89
1,0.005024455,0.086956522,0.000116501,0.032903226,0.392912869,0.190642959,0.000147336,0.00103599,0.676269176,0.721274552,0.064855708,4.58e+08,0.671567654,0.637555395,0.312904948,0.118250477,0,0.60145329
1,0.005058882,0.064467766,7.19e+08,0.025483871,0.391589969,0.182419054,0.00138391,0.005209682,0.308588593,0.731975289,0.02551586,2.49e+09,0.671569942,0.641099985,0.314163135,0.047775282,0,0.610236526
1,0.005303319,0.175412294,0.000293521,0.04016129,0.394371452,0.35838016,0.000680464,0.00486857,0.975006616,0.731999641,0.026385246,8.24e+08,0.671563053,0.622374075,0.311567161,0.047725372,0,0.59878151
1,0.004913193,0.095952024,9.3e+09,0.029677419,0.377569481,0.214535988,0.000100856,0.004879131,0.733351869,0.725201639,0.040093622,2.95e+08,0.671567593,0.637469772,0.313268472,0.099521933,0,0.590172327
0,0.005417946,0.154422789,0.000245862,0.029516129,0.391940481,0.414645601,0.013190215,0.004384755,0.906707131,0.735182055,0.029884061,0.00010523,0.671576185,0.649869164,0.315376064,0.021710461,0,0.603613451
0,0.005333241,0.124437781,0.000214089,0.033870968,0.401845277,0.340940213,0.003220041,0.006916066,0.624506351,0.732681616,0.028981565,5.33e+09,0.671563029,0.62982715,0.312178873,0.04351399,0,0.608125444
0,0.005620532,0.148425787,0.000305625,0.031774194,0.404513693,0.320023003,0.000371908,0.010294698,0.500719749,0.734495149,0.055381895,3.06e+08,0.671572248,0.642851149,0.314555262,0.025812849,0,0.621768958
0,0.00610365,0.019490255,5.6e+09,0.011612903,0.393726962,0.126506171,0.007164914,0.004334233,0.57694258,0.731993725,0.007678609,0.000295044,0.671569399,0.642257054,0.314486884,0.04629123,0,0.606524037
0,0.005863301,0.125937031,0.000228462,0.027741935,0.40057891,0.380520031,0.001639336,0.016538628,0.522773081,0.73563062,0.040018486,1.24e+09,0.671570175,0.639850773,0.314173995,0.018156638,0,0.618451696
0,0.005191807,0.11844078,0.000136926,0.026451613,0.393252075,0.386907211,0.009000166,0.013225565,0.653827592,0.735200728,0.087295963,8.49e+09,0.671578992,0.652471662,0.315775233,0.021936861,0,0.636255941
0,0.005329014,0.053973013,9e+09,0.017580645,0.398317541,0.176667365,0.013033331,0.009948232,0.112001616,0.734286174,0.023529483,6.46e+09,0.671547159,0.626864079,0.31234026,0.010940728,0,0.622177191
0,0.005038164,0.125937031,0.000102127,0.038387097,0.394009633,0.297345666,0.00260549,0.004858957,0.49786057,0.73302973,0.056786552,3.15e+09,0.67157328,0.644473458,0.314851097,0.040394784,0,0.618933171
